variety,section,HPH,nanopaper,strip,weight,modulus_star,toughness_star,TI_star
Yemen,Leaf,M,2,1,0.2245,6.66,2.5,92.27505568
Yemen,Leaf,M,2,2,0.2233,7.02,2.37,89.86402262
Yemen,Leaf,M,2,3,0.2235,6.84,2.06,87.01208054
Yemen,Leaf,M,2,4,0.2248,7.54,2.85,96.1319206
Yemen,Leaf,M,2,5,0.226,6.39,2.53,92.38938053
Yemen,Leaf,M,2,6,0.2242,7.21,2.09,87.39702498
Yemen,Leaf,M,2,7,0.227,7.25,2.11,87.54345595
Yemen,Leaf,M,2,8,0.2288,6.92,2.64,92.71027644
Yemen,Leaf,H,1,1,0.1856,8.4,3.31,106.762694
Yemen,Leaf,H,1,2,0.1889,8.42,4.15,116.5894018
Yemen,Leaf,H,1,3,0.1883,7.69,2.38,99.80968933
Yemen,Leaf,H,1,4,0.1872,8.3,2.47,98.6921875
Yemen,Leaf,H,1,5,0.1879,8.78,3.3,109.4263491
Yemen,Leaf,H,1,6,0.1857,8.63,4.48,116.3477302
Yemen,Leaf,H,1,7,0.1891,8.52,3.37,109.0199008
Yemen,Leaf,H,1,8,0.1887,,,
Yemen,Leaf,H,2,1,0.1845,7.55,2.85,103.7276098
Yemen,Leaf,H,2,2,0.1872,8.07,2.22,95.2634375
Yemen,Leaf,H,2,3,0.1878,7.3,2.6,99.52885783
Yemen,Leaf,H,2,4,0.1823,8.11,3.77,113.0963796
Yemen,Leaf,H,2,5,0.1889,,,
Yemen,Leaf,H,2,6,0.1869,,,
Yemen,Leaf,H,2,7,0.1897,,,
Yemen,Leaf,H,2,8,0.1838,,,
Yemen,Sheath,L,1,1,0.2213,6.28,1.98,96.64550158
Yemen,Sheath,L,1,2,0.228,6.65,1.78,90.43578947
Yemen,Sheath,L,1,3,0.2278,6.22,1.98,95.49964004
Yemen,Sheath,L,1,4,0.229,6.4,1.7,90.70820961
Yemen,Sheath,L,1,5,0.2263,6.91,2.02,96.32644719
Yemen,Sheath,L,1,6,0.2278,6.4,1.98,95.62302458
Yemen,Sheath,L,1,7,0.2286,6.57,1.75,92.48557087
Yemen,Sheath,L,1,8,0.2288,6.62,2.22,97.74306818
Yemen,Sheath,L,2,1,0.224,6.56,2.04,93.47842969
Yemen,Sheath,L,2,2,0.2333,6.52,2.16,92.89686777
Yemen,Sheath,L,2,3,0.2227,6.45,2.19,97.60251459
Yemen,Sheath,L,2,4,0.2259,6.58,2.07,96.13292829
Yemen,Sheath,L,2,5,0.2231,6.93,1.9,94.48983416
Yemen,Sheath,L,2,6,0.2276,6.61,1.64,89.48131371
Yemen,Sheath,L,2,7,0.226,6.69,2.04,95.02620133
Yemen,Sheath,L,2,8,0.2251,6.94,2.16,97.69903821
Yemen,Sheath,M,1,1,0.2083,6.57,1.42,86.87194911
Yemen,Sheath,M,1,2,0.2126,6.33,2.51,102.1876764
Yemen,Sheath,M,1,3,0.2132,6.83,2.38,102.7644231
Yemen,Sheath,M,1,4,0.2062,6.91,2.84,107.5850812
Yemen,Sheath,M,1,5,0.2126,6.56,2.39,99.07056914
Yemen,Sheath,M,1,6,0.2073,7.25,2.49,101.2832127
Yemen,Sheath,M,1,7,0.21,6.78,2.57,103.0335
Yemen,Sheath,M,1,8,0.2121,6.56,2.35,100.9985219
Yemen,Sheath,M,2,1,0.2137,6.51,2.72,105.5206411
Yemen,Sheath,M,2,2,0.2156,6.13,2.11,96.53877551
Yemen,Sheath,M,2,3,0.2121,6.82,2.05,96.96141089
Yemen,Sheath,M,2,4,0.2162,6.61,2.31,101.0767438
Yemen,Sheath,M,2,5,0.215,6.93,2.71,103.5318558
Yemen,Sheath,M,2,6,0.2127,7.02,2.65,102.4963858
Yemen,Sheath,M,2,7,0.2171,6.04,2.63,104.2392561
Yemen,Sheath,M,2,8,0.2117,6.78,2.04,95.90817903
Yemen,Sheath,H,1,1,0.1943,7.83,3.73,113.4699434
Yemen,Sheath,H,1,2,0.1927,,,
Yemen,Sheath,H,1,3,0.191,7.66,3.1,108.7296126
Yemen,Sheath,H,1,4,0.1903,7.9,3.29,109.8453429
Yemen,Sheath,H,1,5,0.1886,7.5,3.15,110.5169578
Yemen,Sheath,H,1,6,0.1927,7.87,3.65,113.1048262
Yemen,Sheath,H,1,7,0.1892,7.3,3.08,107.8373507
Yemen,Sheath,H,1,8,0.193,7.68,2.72,104.4173238
Yemen,Sheath,H,2,1,0.2088,6.57,3.16,97.88201509
Yemen,Sheath,H,2,2,0.2048,6.68,3.81,107.5863428
Yemen,Sheath,H,2,3,0.2089,7.47,2.98,98.2176484
Yemen,Sheath,H,2,4,0.207,7.12,4.55,114.2191957
Yemen,Sheath,H,2,5,0.207,7.05,3.2,101.2619022
Yemen,Sheath,H,2,6,0.2059,7.13,3.77,106.8199029
Yemen,Sheath,H,2,7,0.2095,7.26,3.82,106.4642005
Yemen,Sheath,H,2,8,0.2057,6.57,3.04,98.17193
