Sample_name,Variety,Replicate,Section,HPH,Morfi.Rep,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
Sugargraze-1-Leaf-H,Sugargraze,1,Leaf,H,3,33449,62.573,279,371,474,359,13.7,0.0471,1.059,135.59,8.399,4.087,0.603,20.223,555675,999.591,41.088,65.962,58.453,523,32
Sugargraze-1-Leaf-H,Sugargraze,1,Leaf,H,4,34325,65.097,276,367,471,355,13.8,0.0457,1.051,136.033,8.108,4.085,0.583,21.129,550895,999.656,39.996,65.499,57.92,523,32
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,1,50054,36.352,263,374,515,369,17.7,0.087,1.044,113.289,2.148,4.53,1.031,28.141,524172,365.394,40.765,63.705,54.104,961,42
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,2,50167,36.926,264,377,523,373,17.6,0.0851,1.042,117.366,2.1,4.495,1.01,27.683,528444,373.368,41.384,63.701,54.026,959,42
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,3,50172,36.171,263,376,520,371,17.8,0.0876,1.042,115.769,2.213,4.527,1.048,27.678,526202,363.582,41.195,63.422,54.082,963,42
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,4,50023,36.856,260,368,503,362,17.5,0.0861,1.044,117.198,1.939,4.429,0.998,27.48,537228,379.63,42.41,64.199,55.071,956,42
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,1,50092,39.156,271,377,503,379,16.6,0.08,1.05,130.702,4.323,4.247,0.973,25.935,547518,411.017,37.079,61.418,52.607,785,38
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,2,50030,40.454,273,381,511,382,16.7,0.0769,1.051,129.896,4.383,4.303,1.043,26.629,541459,419.708,37.195,61.317,52.21,793,38
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,3,50047,40.089,273,379,509,381,16.7,0.0783,1.049,129.729,4.428,4.33,1.043,26.086,536763,412.422,36.512,60.81,52.113,792,38
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,4,50047,41.137,273,380,511,382,16.8,0.0759,1.059,129.907,4.412,4.372,1.046,26.775,536077,423.782,37.001,61.207,51.981,794,38
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,1,50163,52.245,268,362,476,363,15.6,0.0605,1.07,133.138,8.485,4.857,1.225,27.143,518878,520.053,29.826,58.381,50.107,647,35
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,2,50009,51.752,268,362,474,363,15.6,0.061,1.067,132.281,8.407,4.821,1.216,26.878,523341,519.594,30.305,59.283,50.229,637,35
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,3,50076,52.284,269,362,474,362,15.6,0.0604,1.059,132.675,8.433,4.861,1.191,26.945,521456,524.018,29.388,58.282,50.174,645,35
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,4,50044,51.237,268,360,473,362,15.6,0.0617,1.061,133.058,8.19,4.842,1.232,26.901,527086,520.409,30.526,59.086,50.543,641,35
Sugargraze-1-Stem(<1m)-L,Sugargraze,1,Stem(<1m),L,1,50117,30.375,242,345,503,366,23.1,0.1191,1.037,111.202,2.464,5.665,1.356,36.881,274253,158.855,19.194,49.96,39.624,882,42
Sugargraze-1-Stem(<1m)-L,Sugargraze,1,Stem(<1m),L,2,50130,30.211,242,343,497,362,23.2,0.1196,1.044,110.519,2.582,5.778,1.352,37.385,275472,159.434,19.77,50.105,39.76,877,41
Sugargraze-1-Stem(<1m)-L,Sugargraze,1,Stem(<1m),L,3,50158,29.974,241,339,483,357,23.4,0.121,1.05,109.689,2.414,5.788,1.422,37.512,271895,155.808,19.405,49.858,39.824,883,42
Sugargraze-1-Stem(<1m)-L,Sugargraze,1,Stem(<1m),L,4,50061,31.762,242,343,494,363,23.3,0.1139,1.044,108.967,2.485,5.767,1.353,37.168,272167,165.691,19.394,50.008,39.64,882,42
Sugargraze-1-Stem(<1m)-M,Sugargraze,1,Stem(<1m),M,1,50047,35.683,249,349,492,355,21.3,0.0993,1.056,122.701,3.141,5.418,1.695,38.366,310269,212.46,20.811,51.224,41.12,802,40
Sugargraze-1-Stem(<1m)-M,Sugargraze,1,Stem(<1m),M,2,50094,35.278,249,350,496,356,21.4,0.1009,1.051,122.49,3.138,5.515,1.766,38.6,304981,205.543,20.521,51.076,40.917,818,40
Sugargraze-1-Stem(<1m)-M,Sugargraze,1,Stem(<1m),M,3,50028,36.166,249,350,495,356,21.5,0.0983,1.05,122.417,3.333,5.521,1.763,39.281,303852,210.505,21.012,51.227,40.881,820,40
Sugargraze-1-Stem(<1m)-M,Sugargraze,1,Stem(<1m),M,4,50014,35.538,249,350,491,357,21.2,0.0998,1.039,121.05,3.113,5.397,1.725,37.99,311276,211.989,21.217,51.547,41.331,812,40
Sugargraze-1-Stem(<1m)-H,Sugargraze,1,Stem(<1m),H,1,50077,46.204,247,339,467,351,18.8,0.076,1.097,128.987,6.111,5.464,1.895,35.71,612055,544.695,28.061,64.317,56.028,632,35
Sugargraze-1-Stem(<1m)-H,Sugargraze,1,Stem(<1m),H,2,50010,45.335,245,336,459,348,18.9,0.0778,1.076,129.179,5.785,5.426,1.954,35.926,613662,535.943,27.561,64.163,56.398,636,36
Sugargraze-1-Stem(<1m)-H,Sugargraze,1,Stem(<1m),H,3,50096,42.829,246,336,459,348,19,0.0821,1.085,128.364,5.874,5.483,1.945,36.053,619155,510.715,27.563,64.37,56.534,634,35
Sugargraze-1-Stem(<1m)-H,Sugargraze,1,Stem(<1m),H,4,50019,44.929,246,338,461,352,18.9,0.0782,1.096,129.825,6.016,5.412,1.933,35.763,616647,534.692,27.999,64.313,56.332,634,35
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,1,50156,44.788,238,326,455,328,18.2,0.0775,1.042,114.348,2.268,4.435,1.332,29.356,337492,290.289,29.009,55.936,45.129,811,40
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,2,50081,44.877,238,323,446,325,18.3,0.0771,1.039,114.689,2.234,4.44,1.287,29.192,337887,292.537,28.671,56.179,45.34,806,40
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,3,50077,43.416,238,324,446,326,18.3,0.0799,1.038,116.089,2.309,4.471,1.35,29.475,341166,285.26,28.296,56.151,45.621,810,40
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,4,50131,43.695,238,324,449,327,18.1,0.0795,1.044,116.266,2.327,4.451,1.298,29.078,344160,289.44,28.829,56.077,45.537,797,40
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,1,50161,50.856,242,326,443,326,17,0.0676,1.054,126.779,3.22,4.282,1.341,27.801,324587,316.562,26.849,53.832,43.493,757,39
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,2,50171,48.35,242,326,442,327,17.3,0.0712,1.042,123.428,3.507,4.452,1.438,28.408,320816,297.827,26.265,53.745,43.209,759,39
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,3,50099,52.082,241,324,438,323,17,0.0657,1.057,123.967,3.262,4.346,1.355,27.955,327950,328.158,26.603,54.169,43.782,745,39
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,4,50044,47.627,243,327,440,327,17.1,0.0719,1.047,124.358,3.298,4.386,1.417,27.399,324959,297.787,26.266,53.308,43.462,750,39
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,1,50197,60.452,242,323,432,325,16.2,0.0565,1.064,130.74,5.785,4.679,1.428,28.995,395389,458.677,26.555,56.684,47.283,680,37
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,2,50071,58.619,242,319,423,323,16.1,0.0584,1.06,129.678,5.754,4.657,1.389,28.616,400410,450.01,27.746,57.158,47.917,681,37
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,3,50099,58.743,242,319,418,321,16.1,0.0582,1.065,130.939,5.761,4.662,1.422,29.049,400828,453.454,26.944,57.117,47.994,678,37
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,4,50117,59.426,241,322,437,328,15.9,0.0574,1.062,129.738,5.485,4.557,1.367,28.356,403308,461.251,27.169,57.408,47.704,673,37
Yemen-2-Leaf-L,Yemen,2,Leaf,L,1,50120,32.595,249,371,530,345,18,0.0999,1.048,123.406,2.26,4.491,0.932,29.574,954824,595.911,53.088,74.259,65.972,814,38
Yemen-2-Leaf-L,Yemen,2,Leaf,L,2,50061,32.619,250,372,532,349,17.9,0.0992,1.048,122.795,2.305,4.511,0.94,29.357,961180,601.706,52.35,74.159,66.062,812,38
Yemen-2-Leaf-L,Yemen,2,Leaf,L,3,50008,33.026,249,373,537,348,18,0.0986,1.034,123.957,2.317,4.539,0.977,29.234,962988,612.166,52.624,74.389,66.073,808,38
Yemen-2-Leaf-L,Yemen,2,Leaf,L,4,50054,32.195,248,369,527,344,18,0.1018,1.039,122.381,2.307,4.461,0.977,29.249,955364,591.747,53.185,74.426,66.078,805,38
Yemen-2-Leaf-M,Yemen,2,Leaf,M,1,45210,43.008,260,378,522,360,15.9,0.0731,1.069,133.703,5.773,4.268,0.745,26.039,853252,780.697,49.811,72.516,64.35,712,36
