Biomass,Section,Level,Nanopaper,Strip,weight,thickness,density,porosity,grammage,strain_star,UTS_star,E_star,toughness_star,TI_star
Sorghum,Stem(>1m),M,1,5,0.2158,0.1033,0.92847155,36.40605822,95.91111111,3.21,94.1,6.47,2,101.3493628
Sorghum,Stem(>1m),M,1,6,0.2149,0.1033,0.924599333,36.67127855,95.51111111,3.44,97.75,6.32,2.24,105.7214693
Sorghum,Stem(>1m),M,1,7,0.2143,0.1033,0.922017855,36.84809211,95.24444444,3.21,94.4,6.42,2.03,102.3841344
Sorghum,Stem(>1m),M,1,8,0.2156,0.1036,0.924924925,36.64897774,95.82222222,3.56,99.09,6.35,2.33,107.1330195
Sorghum,Stem(>1m),M,2,1,0.2152,0.1033,0.925890072,36.58287178,95.64444444,2.84,89.38,6.99,1.69,96.53413801
Sorghum,Stem(>1m),M,2,2,0.2151,0.1013,0.943731491,35.36085681,95.6,2.06,81.08,6.54,1.06,85.91426778
Sorghum,Stem(>1m),M,2,3,0.2146,0.1026,0.929607971,36.3282212,95.37777778,,,,,
Sorghum,Stem(>1m),M,2,4,0.2139,0.1009,0.942186984,35.46664494,95.06666667,2.76,91.58,6.21,1.65,97.1993899
Sorghum,Stem(>1m),M,2,5,0.2142,0.1006,0.946322068,35.18342003,95.2,2.49,87.75,6.41,1.41,92.72741597
Sorghum,Stem(>1m),M,2,6,0.216,0.1028,0.93385214,36.03752465,96,1.95,77.16,6.43,0.94,82.6255
Sorghum,Stem(>1m),M,2,7,0.2154,0.1014,0.944115713,35.33454018,95.73333333,3.12,94.76,6.07,1.95,100.3690529
Sorghum,Stem(>1m),M,2,8,0.2145,0.1018,0.936476752,35.85775673,95.33333333,2.35,82.46,5.91,1.23,88.05344056
Sorghum,Stem(>1m),H,1,1,0.2285,0.0939,1.081528813,25.92268403,101.5555556,3.36,113.42,7.65,2.57,104.8700678
Sorghum,Stem(>1m),H,1,2,0.2304,0.0934,1.096359743,24.90686692,102.4,3.65,120.39,7.31,2.96,109.8088477
Sorghum,Stem(>1m),H,1,3,0.2316,0.0944,1.09039548,25.31537807,102.9333333,3.41,116.13,7.61,2.68,106.5026425
Sorghum,Stem(>1m),H,1,4,0.2341,0.0939,1.108034552,24.10722246,104.0444444,2.33,101.06,7.38,1.5,91.20654208
Sorghum,Stem(>1m),H,1,5,0.2332,0.0943,1.09909273,24.71967602,103.6444444,2.63,105.54,6.91,1.79,96.0246548
Sorghum,Stem(>1m),H,1,6,0.233,0.0942,1.099315876,24.70439203,103.5555556,3.12,112.83,7.42,2.34,102.6365601
Sorghum,Stem(>1m),H,1,7,0.2285,0.0938,1.082681829,25.84371035,101.5555556,3.14,112.67,7.53,2.35,104.0656608
Sorghum,Stem(>1m),H,1,8,0.2323,0.0934,1.105400904,24.28760931,103.2444444,,,,,
Sorghum,Stem(>1m),H,2,1,0.225,0.0948,1.054852321,27.74984105,100,2.66,97.48,6.92,1.71,92.41104
Sorghum,Stem(>1m),H,2,2,0.2251,0.0951,1.051992055,27.94574965,100.0444444,2.91,105.36,7.73,2.05,100.1528476
Sorghum,Stem(>1m),H,2,3,0.2269,0.0947,1.064883257,27.06279061,100.8444444,3.72,119.78,7.14,3,112.4818136
Sorghum,Stem(>1m),H,2,4,0.2277,0.0953,1.061909759,27.26645489,101.2,3.77,120.99,6.93,3.05,113.9362352
Sorghum,Stem(>1m),H,2,5,0.229,0.0967,1.052510629,27.91023092,101.7777778,2.98,105.44,6.69,2.07,100.1795109
Sorghum,Stem(>1m),H,2,6,0.2295,0.0983,1.037639878,28.92877548,102,2.35,94.93,6.62,1.42,91.48646078
Sorghum,Stem(>1m),H,2,7,0.228,0.0945,1.072310406,26.55408181,101.3333333,2.56,99.38,6.92,1.64,92.67838816
Sorghum,Stem(>1m),H,2,8,0.2258,0.0954,1.051945027,27.94897077,100.3555556,2.16,92.96,6.82,1.25,88.36963685
