Biomass,Section,Level,Morfi.Rep,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
Spinifex,Leaf,H,3,50049,50.51,249,334,443,324,14.4,0.06,1.05,133.65,6.12,3.94,0.92,22.3,551976,535.1,41.32,64.29,55.11,746,37
Spinifex,Leaf,H,2,50085,50.35,248,331,440,322,14.3,0.06,1.06,133.01,5.93,3.9,0.91,22.18,547013,528.96,42.09,64.45,55.09,745,37
Spinifex,Leaf,H,1,50109,51.98,248,331,438,322,14.3,0.06,1.05,133.62,6.13,3.95,0.91,21.6,556250,553.3,41.64,64.41,55.44,743,37
Sorghum,Leaf,L,1,50108,34.1,249,355,488,330,17.8,0.1,1.05,131.21,4.13,4.74,1.37,35.37,998120,654.99,51.73,75.51,68,810,38
Sorghum,Leaf,L,2,50130,34.69,248,354,486,330,17.8,0.1,1.05,132.01,4.07,4.7,1.3,35.09,998743,667.54,52.37,75.76,67.99,807,38
Sorghum,Leaf,L,3,50117,35.32,248,355,486,330,17.7,0.1,1.05,133.48,4.03,4.63,1.24,34.73,1009863,687.18,52.76,75.75,68.2,802,38
Sorghum,Leaf,L,4,50130,34.89,247,352,482,325,18.1,0.1,1.05,132.44,4.08,4.89,1.39,36.35,964550,648.56,51.18,75.33,67.58,819,38
Sorghum,Leaf,M,1,48776,26.33,245,358,501,328,18.4,0.13,1.03,121.73,1.84,4.41,1,32.35,1097141,571.41,60.86,78.66,71.07,883,39
Sorghum,Leaf,M,2,50076,26.88,244,356,499,327,18.5,0.13,1.03,122.39,1.92,4.49,1.07,33.14,1072390,556.23,59.6,78.08,70.57,921,40
Sorghum,Leaf,M,3,48608,26.37,243,354,495,324,18.5,0.13,1.03,124.64,1.77,4.44,1.04,32.97,1064179,557.28,60.88,78.39,71.2,923,40
Sorghum,Leaf,M,4,48237,26.37,243,354,493,322,18.3,0.13,1.03,123.63,1.72,4.37,1.01,31.88,1089979,576.01,60.09,78.31,71.25,876,39
Sorghum,Leaf,H,1,34394,64.69,278,368,470,357,13.8,0.05,1.05,135.61,8.25,4.15,0.64,21.33,570488,1027.52,40.2,66.02,58.63,524,32
Sorghum,Leaf,H,2,34961,64.59,278,370,473,358,13.7,0.05,1.05,134.9,8.58,4.17,0.61,20.79,577221,1021.33,40.32,65.85,58.43,524,32
Sorghum,Leaf,H,3,33449,62.57,279,371,474,359,13.7,0.05,1.06,135.59,8.4,4.09,0.6,20.22,555675,999.59,41.09,65.96,58.45,523,32
Sorghum,Leaf,H,4,34325,65.1,276,367,471,355,13.8,0.05,1.05,136.03,8.11,4.09,0.58,21.13,550895,999.66,40,65.5,57.92,523,32
Sorghum,Sheath,L,1,50054,36.35,263,374,515,369,17.7,0.09,1.04,113.29,2.15,4.53,1.03,28.14,524172,365.39,40.77,63.71,54.1,961,42
Sorghum,Sheath,L,2,50167,36.93,264,377,523,373,17.6,0.09,1.04,117.37,2.1,4.5,1.01,27.68,528444,373.37,41.38,63.7,54.03,959,42
