Process,Level,Morfi.Rep,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
Extrusion-15%,L,3,49505,28.859,233,317,430,308,18.6,0.1283,1.153,115.441,11.833,8.051,1.128,30.411,714446,400.437,44.838,69.723,62.871,798,37
Extrusion-15%,L,2,45751,31.939,232,319,436,310,17.5,0.1133,1.149,120.295,10.663,6.851,0.899,28.243,681961,460.095,48.147,70.231,63.409,788,37
Extrusion-15%,L,1,50007,31.135,232,318,436,307,18,0.1176,1.139,118.41,10.609,7.11,1.027,29.391,721856,433.433,46.82,69.821,62.815,790,37
Extrusion-15%,M,4,50152,27.738,233,319,436,307,19.6,0.1326,1.126,119.946,9.629,7.13,1.116,32.782,693446,369.072,44.052,69.128,62.231,849,38
Extrusion-15%,M,3,50038,28.243,232,320,443,310,19.4,0.1305,1.122,120.07,9.788,7.032,1.054,31.446,691091,374.507,44.907,69.373,62.095,848,38
Extrusion-15%,M,2,50165,27.676,231,317,435,305,19.2,0.1326,1.138,121.398,9.326,6.8,1.052,31.989,718636,380.883,45.895,70.051,63.165,844,38
Extrusion-15%,M,1,50045,26.948,235,325,448,311,20,0.1363,1.144,119.549,10.057,7.301,1.074,33.615,683542,353.656,43.503,68.905,61.628,857,38
Extrusion-15%,H,3,50067,33.505,234,320,440,310,18.4,0.11,1.137,119.292,10.887,7.24,1.037,31.398,649877,418.105,43.857,67.87,60.645,827,38
Extrusion-15%,H,2,50026,31.224,233,317,432,307,18.9,0.1192,1.138,118.262,10.716,7.429,1.132,32.279,646162,386.708,43.311,68.056,60.879,843,38
Extrusion-15%,H,1,50112,31.678,232,316,432,305,18.4,0.1174,1.141,118.294,10.933,7.391,1.051,30.929,657954,399.489,44.638,68.465,61.243,829,38
Extrusion-15%,H,4,50101,31.709,232,317,433,305,18.7,0.1169,1.142,118.225,10.71,7.454,1.067,32.224,656385,398.734,44.142,68.352,61.244,839,38
Extrusion-20%,L,4,49755,31.402,231,313,423,304,17,0.1179,1.143,120.256,11.82,7.402,1.037,29.223,853783,518.954,50.037,72.991,66.749,770,37
Extrusion-20%,L,3,50032,30.426,230,310,420,301,17.2,0.1226,1.158,120.16,11.596,7.548,1.112,30.033,841110,494.139,49.386,72.996,66.649,779,37
Extrusion-20%,L,2,50038,31.239,230,312,426,304,17.3,0.1195,1.16,120.438,11.557,7.571,1.137,30.588,826192,498.128,48.823,72.438,66.344,795,37
Extrusion-20%,L,1,50017,30.462,230,309,417,302,17,0.1216,1.153,119.632,11.461,7.479,1.079,29.221,865399,507.603,50.184,72.942,67.004,762,36
Extrusion-20%,M,4,50126,34.396,228,307,415,300,16.3,0.1087,1.137,121.885,11.771,7.191,1.011,28.611,878943,583.076,51.433,73.69,67.516,745,36
Extrusion-20%,M,3,50089,34.965,228,307,415,299,16.2,0.1068,1.141,121.498,11.675,7.18,0.983,28.501,883263,594.737,51.615,73.708,67.638,746,36
Extrusion-20%,M,2,50131,34.283,228,307,415,300,16.3,0.1089,1.145,121.695,11.701,7.276,1.069,28.652,877304,579.573,50.725,73.423,67.499,748,36
Extrusion-20%,M,1,50093,34.95,228,307,416,299,16.3,0.107,1.144,121.687,11.748,7.205,0.992,28.502,869075,584.153,50.012,73.224,67.268,745,36
Extrusion-20%,H,3,50031,32.981,227,304,408,297,17,0.1141,1.141,119.835,11.448,7.425,1.067,29.658,806939,513.789,48.493,71.926,66.18,769,37
Extrusion-20%,H,2,47630,32.766,227,304,409,296,16.8,0.1147,1.145,120.384,11.408,7.264,0.95,28.698,811640,538.283,51.025,73.24,67.146,758,37
Extrusion-20%,H,1,49794,33.927,227,304,411,296,16.8,0.1106,1.142,119.991,11.268,7.273,0.955,28.638,826892,542.563,50.315,72.836,66.644,766,37
Extrusion-20%,H,4,40597,33.354,227,304,409,296,16.7,0.1121,1.14,120.712,11.332,7.131,0.862,28.07,692037,546.014,51.555,73.1,67.173,759,37
Extrusion-25%,L,1,50054,32.267,226,301,403,297,16.5,0.1173,1.134,120.96,11.139,7.421,1.136,30.486,976725,607.384,51.591,75.457,69.818,725,36
Extrusion-25%,L,2,50129,32.966,227,304,409,299,16.5,0.1146,1.136,121.25,11.437,7.406,1.184,30.215,963716,612.017,50.902,74.982,69.322,729,36
Extrusion-25%,L,3,50120,32.569,227,303,409,297,16.4,0.1161,1.154,121.812,11.279,7.399,1.085,30.259,980381,616.54,51.913,75.343,69.771,728,36
Extrusion-25%,L,4,50076,32.777,226,303,407,298,16.5,0.1161,1.141,121.253,11.132,7.378,1.107,29.821,977950,617.32,52.225,75.555,69.736,726,36
Extrusion-25%,M,1,50100,33.821,225,303,408,295,16.4,0.1123,1.152,122.393,11.46,7.316,1.161,29.921,930415,606.93,51.604,74.689,68.91,740,36
Extrusion-25%,M,2,50023,33.653,226,303,409,297,16.3,0.1121,1.136,121.787,11.562,7.324,1.078,29.637,938335,610.323,51.507,74.765,69.07,740,36
Extrusion-25%,M,3,50096,34.02,225,302,409,295,16.4,0.1115,1.139,121.949,11.51,7.338,1.148,30.273,935578,613.932,51.979,74.853,69.119,746,36
Extrusion-25%,M,4,50129,34.303,225,302,406,295,16.3,0.1107,1.138,121.538,11.296,7.304,1.094,30.512,942168,621.85,51.769,74.927,69.209,737,36
Extrusion-25%,H,1,50096,31.777,230,312,425,305,16.5,0.1171,1.149,121.835,12.051,7.546,1.101,30.019,919224,562.739,50.337,73.934,67.964,750,36
Extrusion-25%,H,2,50151,31.931,231,313,427,306,16.6,0.1164,1.166,121.833,12.054,7.566,1.131,29.966,917151,562.884,50.333,73.945,67.788,749,36
Extrusion-25%,H,3,50148,32.817,231,314,429,308,16.5,0.1133,1.154,122.015,12.27,7.614,1.184,30.212,927959,586.252,50.057,73.962,68.023,748,36
Extrusion-25%,H,4,50030,32.672,230,314,430,308,16.5,0.1144,1.157,121.948,12.045,7.513,1.095,29.923,918725,577.418,50.304,74.022,67.748,747,36
