Sample Name,Variety,Replicate,Section,HPH Energy,nanopaper.rep,Weight (g),Thickness (mm),Density (g/cm3),Porosity (%),Grammage (g/m2),? (%),UTS (MPa),E (GPa),UT (MJ m-3),TI,Strain*,UTS*,E*,UT *,TI*
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,11,0.2209,0.0994,0.987704002,32.34904097,98.17777778,3.22,92.49,6.08,1.98,93.64141467,3.22,92.49,6.08,1.98,93.64141467
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,12,0.2189,0.0989,0.983709696,32.62262359,97.28888889,3.2,92.37,6.65,1.96,93.89965395,3.2,92.37,6.65,1.96,93.89965395
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,13,0.2207,0.1001,0.97990898,32.88294658,98.08888889,2.72,87.39,6.85,1.57,89.18175238,2.72,87.39,6.85,1.57,89.18175238
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,14,0.2211,0.1002,0.980705256,32.82840711,98.26666667,2.29,80.73,5.86,1.16,82.31831072,2.29,80.73,5.86,1.16,82.31831072
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,15,0.2183,0.0996,0.974118697,33.2795413,97.02222222,2.97,89.49,6.87,1.76,91.8676546,2.97,89.49,6.87,1.76,91.8676546
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,16,0.218,0.0985,0.983643542,32.62715466,96.88888889,2.65,84.68,5.69,1.44,86.08809633,2.65,84.68,5.69,1.44,86.08809633
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,1,0.2133,0.0886,1.069977427,26.71387489,94.8,2.32,94.73,7.09,1.41,88.53457806,2.32,94.73,7.09,1.41,88.53457806
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,2,0.2129,0.0888,1.065565566,27.01605715,94.62222222,3.75,115.44,6.81,2.89,108.3368342,3.75,115.44,6.81,2.89,108.3368342
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,3,0.2121,0.089,1.05917603,27.45369658,94.26666667,3.73,111.81,6.44,2.79,105.5631895,3.73,111.81,6.44,2.79,105.5631895
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,4,0.2156,0.0881,1.08765292,25.50322468,95.82222222,4.27,122.03,6.8,3.49,112.1957178,4.27,122.03,6.8,3.49,112.1957178
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,5,0.2147,0.0886,1.077000251,26.23285953,95.42222222,2.6,99.75,6.99,1.68,92.61836283,2.6,99.75,6.99,1.68,92.61836283
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,6,0.2134,0.0892,1.063278525,27.17270376,94.84444444,3.46,108.94,6.75,2.51,102.4566917,3.46,108.94,6.75,2.51,102.4566917
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,7,0.2147,0.0893,1.06855792,26.8111014,95.42222222,4.21,121.24,6.6,3.4,113.4613274,4.21,121.24,6.6,3.4,113.4613274
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,8,0.212,0.0888,1.061061061,27.32458486,94.22222222,3.37,107.46,6.71,2.39,101.2759811,3.37,107.46,6.71,2.39,101.2759811
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,9,0.2163,0.0909,1.057572424,27.56353261,96.13333333,3.92,114.56,6.83,3.03,108.3235506,3.92,114.56,6.83,3.03,108.3235506
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,10,0.218,0.0888,1.091091091,25.26773349,96.88888889,3.77,119.1,7.49,3.04,109.156789,3.77,119.1,7.49,3.04,109.156789
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,11,0.218,0.0903,1.072966654,26.50913326,96.88888889,2.8,103.77,7.26,1.93,96.71316399,2.8,103.77,7.26,1.93,96.71316399
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,12,0.2187,0.0901,1.078801332,26.10949782,97.2,2.36,97.57,7.26,1.48,90.44297325,2.36,97.57,7.26,1.48,90.44297325
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,13,0.2179,0.0899,1.077246323,26.21600527,96.84444444,3.03,107.61,6.96,2.16,99.89358765,3.03,107.61,6.96,2.16,99.89358765
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,14,0.2157,0.0883,1.085692714,25.63748533,95.86666667,2.78,104.12,7.94,1.92,95.90190542,2.78,104.12,7.94,1.92,95.90190542
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,15,0.2166,0.0895,1.075605214,26.32840999,96.26666667,3.75,116.52,6.89,2.91,108.3297091,3.75,116.52,6.89,2.91,108.3297091
