Biomass,Section,Level,Nanopaper,Strip,weight,thickness,density,porosity,grammage,strain_star,UTS_star,E_star,toughness_star,TI_star
Graingrass,Sheath,H,2,6,0.2244,0.0876,1.138508371,22.01997456,99.73333333,3.1,129.02,7.93,2.61,113.3237166
Graingrass,Sheath,H,2,7,0.2211,0.0876,1.121765601,23.16673964,98.26666667,2.54,115.78,7.92,1.85,103.2122931
Graingrass,Sheath,H,2,8,0.2219,0.0881,1.119434985,23.32637086,98.62222222,2.05,103.13,7.52,1.2,92.12683303
Graingrass,Stem,L,1,1,0.2263,0.1193,0.843066033,42.25575114,100.5777778,2.9,86.1,5.86,1.61,102.1272316
Graingrass,Stem,L,1,2,0.2278,0.1185,0.854383497,41.48058237,101.2444444,3.05,92.82,6.73,1.86,108.6397388
Graingrass,Stem,L,1,3,0.2305,0.1237,0.828168508,43.27612959,102.4444444,2.84,85.37,5.69,1.55,103.0828861
Graingrass,Stem,L,1,4,0.2257,0.1218,0.823572341,43.59093556,100.3111111,2.71,84.25,5.42,1.43,102.2982388
Graingrass,Stem,L,1,5,0.2334,0.122,0.850273224,41.76210794,103.7333333,2.67,83.02,5.92,1.42,97.63920308
Graingrass,Stem,L,1,6,0.2286,0.1224,0.830065359,43.14620825,101.6,1.73,65.24,5.31,0.65,78.59622047
Graingrass,Stem,L,1,7,0.2281,0.122,0.830965392,43.08456222,101.3777778,1.49,59.61,5.67,0.52,71.73583954
Graingrass,Stem,L,1,8,0.2249,0.1244,0.80350125,44.96566778,99.95555556,1.74,66.17,5.88,0.7,82.35208092
Graingrass,Stem,L,2,1,0.2252,0.122,0.820400729,43.80816927,100.0888889,2.84,79.47,5.62,1.46,96.86729574
Graingrass,Stem,L,2,2,0.2256,0.123,0.815176152,44.166017,100.2666667,2.11,69.77,5.68,0.92,85.58886303
Graingrass,Stem,L,2,3,0.2238,0.1225,0.811972789,44.3854254,99.46666667,2.15,68.46,5.29,0.92,84.31317024
Graingrass,Stem,L,2,4,0.2249,0.1202,0.831577001,43.04267114,99.95555556,,,,,
Graingrass,Stem,L,2,5,0.2281,0.1228,0.825551936,43.45534683,101.3777778,2.01,70.64,6.05,0.88,85.56699693
Graingrass,Stem,L,2,6,0.2218,0.1215,0.811339735,44.42878529,98.57777778,2.16,71.01,5.93,0.97,87.521906
Graingrass,Stem,L,2,7,0.2276,0.1244,0.813147553,44.30496214,101.1555556,1.73,64.39,5.71,0.65,79.18612039
Graingrass,Stem,L,2,8,0.2301,0.1235,0.828070175,43.2828647,102.2666667,1.57,61.77,5.39,0.57,74.59512712
Graingrass,Stem,M,1,1,0.2281,0.1044,0.971051511,33.48962251,101.3777778,3.57,111.87,7.11,2.63,115.205011
Graingrass,Stem,M,1,2,0.2307,0.1061,0.966383915,33.80932092,102.5333333,3.02,105.92,6.82,2.07,109.6044733
Graingrass,Stem,M,1,3,0.2285,0.1061,0.95716829,34.44052809,101.5555556,3.22,106.79,6.61,2.22,111.5686772
Graingrass,Stem,M,1,4,0.2276,0.1047,0.966146662,33.82557107,101.1555556,3.5,110.24,7.08,2.53,114.1027592
Graingrass,Stem,M,1,5,0.2299,0.1057,0.966677179,33.78923434,102.1777778,3.5,112.78,6.84,2.58,116.6676968
Graingrass,Stem,M,1,6,0.2272,0.1044,0.967220094,33.75204838,100.9777778,,,,,
Graingrass,Stem,M,1,7,0.2317,0.1043,0.987322893,32.37514429,102.9777778,3.18,110.9,6.98,2.28,112.3239426
Graingrass,Stem,M,1,8,0.2242,0.1051,0.948091764,35.06220791,99.64444444,,,,,
Graingrass,Stem,M,2,1,0.2349,0.1061,0.98397738,32.60428905,104.4,3.38,111.14,7.04,2.46,112.949751
Graingrass,Stem,M,2,2,0.223,0.1053,0.941226126,35.5324571,99.11111111,2.9,98.41,6.66,1.85,104.5551087
Graingrass,Stem,M,2,3,0.2308,0.1058,0.969544213,33.5928621,102.5777778,2.17,89.73,6.5,1.2,92.54864168
Graingrass,Stem,M,2,4,0.2283,0.1045,0.970972887,33.49500776,101.4666667,3.04,104.75,7.12,2.1,107.8814882
Graingrass,Stem,M,2,5,0.2235,0.1039,0.956047482,34.51729578,99.33333333,3.32,110.07,6.98,2.42,115.1302651
Graingrass,Stem,M,2,6,0.2245,0.105,0.95026455,34.91338697,99.77777778,3.69,114.9,6.66,2.77,120.9136971
Graingrass,Stem,M,2,7,0.2248,0.1054,0.947923255,35.07374964,99.91111111,3.55,109.09,6.58,2.55,115.0831561
Graingrass,Stem,M,2,8,0.2274,0.1075,0.940155039,35.60581926,101.0666667,2.43,91.19,6.47,1.4,96.9946405
Graingrass,Stem,H,1,1,0.1918,0.0795,1.072257163,26.55772857,85.24444444,3.41,124.79,7.38,2.77,116.3806635
Graingrass,Stem,H,1,2,0.1899,0.081,1.041975309,28.63182818,84.4,3.87,128.98,7.98,3.36,123.7841232
Graingrass,Stem,H,1,3,0.1881,0.0795,1.051572327,27.97449815,83.6,3.23,119.8,7.43,2.54,113.9246411
Graingrass,Stem,H,1,4,0.1862,0.0793,1.043575732,28.52221013,82.75555556,3.26,120.26,7.6,2.59,115.2384023
Graingrass,Stem,H,1,5,0.1835,0.079,1.032348805,29.29117777,81.55555556,2.64,107.81,7.35,1.82,104.4317575
Graingrass,Stem,H,1,6,0.1865,0.0803,1.03224021,29.29861573,82.88888889,3.4,121.14,7.95,2.75,117.3564048
Graingrass,Stem,H,1,7,0.1852,0.0786,1.054566016,27.76945093,82.88888889,3.05,115.04,7.66,2.29,109.0875282
Graingrass,Stem,H,1,8,0.1892,0.0841,0.978729026,32.96376532,82.31111111,3.14,114.14,7.55,2.36,116.6206344
Graingrass,Stem,H,2,1,0.1864,0.0793,1.060389519,27.37058086,84.08888889,4.28,117.5,6.38,3.31,110.8083377
Graingrass,Stem,H,2,2,0.1927,0.0803,1.03168673,29.33652532,82.84444444,,,,,
Graingrass,Stem,H,2,3,0.1929,0.0812,1.054734537,27.75790839,85.64444444,4.85,125.28,6.7,3.98,118.7787026
Graingrass,Stem,H,2,4,0.186,0.08,1.071666667,26.59817352,85.73333333,4.15,117.13,7.38,3.23,109.2970451
Graingrass,Stem,H,2,5,0.1872,0.0803,1.02947281,29.48816368,82.66666667,3.94,112.14,6.81,2.89,108.9295403
Graingrass,Stem,H,2,6,0.1895,0.0817,1.018359853,30.24932513,83.2,3.93,114.08,6.25,2.89,112.0232692
Graingrass,Stem,H,2,7,0.1897,0.0813,1.035943693,29.04495255,84.22222222,4.03,109.07,6.51,2.88,105.2856451
Graingrass,Stem,H,2,8,0.19,0.0812,1.038314176,28.88259067,84.31111111,4.24,109.87,6.21,3.07,105.8157565
